,18,,unsupervised,,,,,,weakly supervised,fully supervised,,
,,Pearson's r,0.3678,0.3472,0.4386,0.3755,0.3477,0.4479,0.5579,0.6679,0.6081,0.629
,,Kendall's,0.3843,0.3267,0.3023,0.4264,0.3355,0.3178,0.4839,0.4773,0.4551,0.4662
QID,ap@100,ap@1000,nqc,wig,clarity,uef_nqc,uef_wig,uef_clarity,neuralqpp,qppbertpl,deepqpp,bertqpp
1037798,0.2531,0.2529,1.99148,4.8709,2.44422,11.57776,47.83154,14.33737,0.29463,0.43714,0.70164,0.25503
104861,0.1151,0.2495,5.28561,6.02226,1.87637,30.59115,36.16697,11.37287,0.77127,0.91353,0.71184,0.39606
1063750,0.002,0.003,7.42303,8.62056,2.41257,43.69157,49.50367,13.74787,0.64907,0.79119,0.01835,0.36754
1103812,0.1518,0.2802,1.23724,6.81082,1.65203,7.21454,39.93243,9.75699,0.00876,0.9175,0.49476,0.15742
1106007,0.0228,0.041,0.4839,6.01391,2.83791,2.89439,35.87534,16.63183,0.60833,0.7245,0.34181,0.6032
1110199,0.1305,0.1117,2.81307,6.80276,3.7253,16.53009,40.17278,11.94772,0.63658,0.25259,0.63369,0.06955
1112341,0.0608,0.1649,0.98964,5.79243,1.46676,5.86358,34.047,8.63102,0.01296,0.08532,0.8665,0.37794
1113437,0.0872,0.1431,2.06416,6.81274,2.05313,12.1942,40.17114,12.23924,0.71378,0.05679,0.95937,0.2225
1114646,0.4839,0.5236,62.67336,13.25882,3.22358,367.20398,79.60458,18.87642,0.98731,0.82927,0.27028,0.98401
1114819,0.2113,0.6167,2.16668,6.19694,2.05907,12.88146,36.09847,12.09075,0.80337,0.42124,0.23731,0.03486
1115776,0.3143,0.3129,7.13684,8.95677,3.51248,42.35694,52.16174,21.21048,0.32282,0.41021,0.73855,0.75824
1117099,0.0898,0.1279,1.0325,4.96358,2.30902,6.13519,29.05911,13.72764,0.09189,0.03659,0.80291,0.04883
1121402,0.8017,0.8212,41.45165,7.35687,2.66738,241.96782,43.26508,18.93096,0.95666,0.93447,0.87536,0.67269
1121709,0,0.0058,0.03578,3.26591,2.48093,0.205,18.95899,15.08462,0.07435,0.02178,0.00459,0.01855
1124210,0.6914,0.9257,3.04354,24.87925,3.78144,18.14549,148.03145,21.98381,0.09827,0.81298,0.84235,0.76285
1129237,0.2467,0.3482,1.53019,5.72643,1.88896,9.05265,33.44659,11.11009,0.28407,0.07883,0.8524,0.86392
1133167,0.2552,0.5356,2.56341,7.05396,3.12899,15.44308,41.91296,18.62412,0.29343,0.43743,0.8103,0.57263
130510,0.8053,0.8413,23.35088,11.68462,4.36024,136.72531,69.62396,25.88617,0.92637,0.75654,0.97204,0.92477
131843,0.329,0.3208,2.35066,20.89415,9.0816,5.58372,49.63164,21.57228,0.89513,0.70204,0.6837,0.59626
146187,0.5787,0.5952,129.54523,12.54501,2.37433,772.54346,73.79917,13.95505,0.79586,0.74967,0.70194,0.92092
148538,0.0977,0.2256,2.03424,9.17701,3.41008,12.18634,53.62499,20.17442,0.05079,0.01219,0.09992,0.28918
156493,0.4293,0.6835,1.71265,7.26588,3.34015,10.48867,42.87568,19.30151,0.80928,0.69742,0.81096,0.86334
168216,0.346,0.9106,17.4006,20.9651,5.78874,104.12386,123.73444,33.06679,0.48864,0.83549,0.92106,0.18662
182539,0.7824,0.7677,7.6552,10.03353,3.72727,44.43681,59.38187,21.87091,0.73585,0.94264,0.82334,0.5878
183378,0.2006,0.5745,3.22584,10.00075,2.3477,19.55973,59.88197,13.95498,0.06799,0.03685,0.06915,0.66993
19335,0.3643,0.3686,1.25024,7.12125,2.07863,7.3349,42.05352,11.91216,0.4516,0.76801,0.94004,0.51295
207786,0.0936,0.1925,1.85561,6.91307,1.96544,10.79111,40.8721,11.6672,0.07573,0.02323,0.02008,0.94798
264014,0.163,0.2999,4.42879,8.12525,1.73253,26.60751,48.79141,10.26119,0.05547,0.00935,0.06518,0.03201
359349,0.4028,0.5061,112.10824,13.34536,2.97288,653.3332,78.94325,17.45853,0.63811,0.739,0.81485,0.43892
405717,0.3035,0.3412,11.57304,16.4678,3.05831,68.66824,96.11672,17.95633,0.66621,0.86254,0.86181,0.70673
443396,0.0015,0.0163,0.81711,5.1198,1.89023,4.85711,30.72435,11.10842,0.05501,0.08287,0.09207,0.34444
451602,0.0735,0.1198,1.43515,6.1446,3.40305,8.3538,35.51431,20.46414,0.04892,0.02799,0.0542,0.07176
47923,0.2194,0.3334,28.75,11.61651,2.70947,166.0382,68.29309,16.41325,0.3431,0.15012,0.04384,0.47574
489204,0.012,0.0253,1.07776,7.00426,3.08882,6.67087,42.41722,18.24418,0.00732,0.08436,0.09892,0.00909
490595,0.3157,0.3576,3.70704,10.86301,2.80248,21.35057,65.56187,16.2565,0.83417,0.78018,0.97987,0.72141
527433,0.1296,0.1433,15.74026,10.23837,3.60363,92.04142,61.25583,21.45089,0.00847,0.03581,0.00098,0.09952
573724,0.4194,0.5086,1.50265,4.63526,1.42494,8.74299,26.55161,8.62877,0.65988,0.85379,0.90803,0.6203
833860,0.1116,0.1249,1.61223,5.55212,1.81353,9.31819,33.81255,10.76656,0.0943,0.05066,0.04696,0.09033
855410,0.8042,0.95,1.04642,1.44284,10.60013,16.89788,2.61687,19.22536,0.46131,0.83196,0.94099,0.72723
87181,0.5179,0.6346,7.59892,11.20933,3.81184,65.37415,65.527,22.10347,0.87262,0.89467,0.95558,0.9741
87452,0.2017,0.2768,1.8689,5.67621,2.70522,11.0205,33.39907,16.15642,0.09101,0.06272,0.082,0.02044
915593,0.2133,0.4064,5.49212,12.75003,3.61593,32.50947,74.87258,21.65066,0.08837,0.08073,0.05764,0.09942
962179,0.0163,0.1099,3.27368,7.36993,2.84257,9.15122,44.14579,16.75402,0.08016,0.05261,0.07024,0.01236
1030303,0.8135,0.7052,57.4319,22.90117,4.21424,212.72249,145.9407,15.77355,0.74025,0.92782,0.85979,0.90387
1037496,0.7366,0.7311,30.02216,11.60118,3.81343,176.25253,108.16048,23.00007,0.64608,0.09655,0.75714,0.9463
1043135,0.2512,0.3078,6.12092,10.84362,2.46034,36.07987,65.01196,14.75511,0.16993,0.33829,0.25373,0.9418
1051399,0.029,0.0269,6.72851,7.03439,2.11536,39.43861,41.15095,12.20167,0.32895,0.33753,0.76835,0.3026
1064670,0.5309,0.5243,16.86795,7.27846,2.51744,100.32635,92.87463,14.96112,0.12487,0.26188,0.8469,0.18108
1071750,0.5074,0.5381,49.67514,7.93127,2.09353,292.02728,86.96007,12.41263,0.076,0.01597,0.16329,0.53565
1105792,0.6913,0.7303,5.50765,19.00562,9.11781,12.44448,52.943,20.60158,0.25497,0.93988,0.21863,0.34012
1106979,0.5725,0.6215,27.77294,11.28243,2.86063,163.84508,65.6451,16.32749,0.06345,0.63617,0.00693,0.46834
1108651,0.0401,0.0489,0.72902,5.09319,2.16078,4.31148,28.98995,12.8075,0.14967,0.6205,0.55985,0.84635
1109707,0.1729,0.2501,4.37231,5.86184,2.10744,25.65464,35.33727,12.1835,0.35722,0.08679,0.39476,0.44344
1110678,0.2024,0.3849,1.41167,13.75352,6.78111,5.94893,57.97022,28.20865,0.85369,0.16283,0.62913,0.31603
1113256,0.593,0.614,24.50026,13.24095,3.66843,143.2456,78.73303,21.44011,0.2629,0.11599,0.06636,0.82519
